SUBJ	condition	language	PUPIL_SIZE	CCC	rating_natural
4353	NEUTRAL	ENGLISH	1524,86	07bENGLISH	5
4353	NEUTRAL	ENGLISH	1524,97	03bENGLISH	5
2242	NEUTRAL	ENGLISH	1525,07	04bENGLISH	4,44
708	NEGATIVE	ENGLISH	1526,93	12aENGLISH	6,24
4423	NEGATIVE	ENGLISH	1528,53	03aENGLISH	5,16
708	NEGATIVE	ENGLISH	1529	18aENGLISH	5,88
708	NEGATIVE	ENGLISH	1529,77	14aENGLISH	4,8
3266	NEUTRAL	ENGLISH	1529,83	12bENGLISH	4,96
3716	NEUTRAL	ENGLISH	1530,37	12bENGLISH	4,96
3266	NEGATIVE	ENGLISH	1530,69	17aENGLISH	6,24
3266	NEGATIVE	ENGLISH	1530,77	05aENGLISH	3,84
708	NEUTRAL	ENGLISH	1531,77	16bENGLISH	4,52
2895	NEUTRAL	ENGLISH	1531,79	11bENGLISH	5,96
4423	NEUTRAL	ENGLISH	1533,03	14bENGLISH	3,92
4423	NEUTRAL	ENGLISH	1533,31	08bENGLISH	3,72
3266	NEUTRAL	ENGLISH	1533,71	13bENGLISH	4,44
2242	NEUTRAL	ENGLISH	1534,63	06bENGLISH	4,24
4353	NEUTRAL	ENGLISH	1535,18	13bENGLISH	4,44
4353	NEUTRAL	ENGLISH	1536,73	20bENGLISH	5,92
708	NEUTRAL	ENGLISH	1537,2	03bENGLISH	5
1512	NEGATIVE	ENGLISH	1537,97	17aENGLISH	6,24
4353	NEGATIVE	ENGLISH	1538,1	03aENGLISH	5,16
4353	NEGATIVE	ENGLISH	1538,46	18aENGLISH	5,88
2242	NEUTRAL	ENGLISH	1542,11	10bENGLISH	5,6
4353	NEUTRAL	ENGLISH	1542,18	11bENGLISH	5,96
1512	NEUTRAL	ENGLISH	1542,68	10bENGLISH	5,6
4423	NEUTRAL	ENGLISH	1542,9	01bENGLISH	4
3266	NEGATIVE	ENGLISH	1543,2	14aENGLISH	4,8
2242	NEGATIVE	ENGLISH	1545,61	20aENGLISH	3,08
708	NEGATIVE	ENGLISH	1548,1	09aENGLISH	5,28
3266	NEGATIVE	ENGLISH	1548,18	16aENGLISH	6,12
3266	NEGATIVE	ENGLISH	1548,6	02aENGLISH	6,04
3266	NEUTRAL	ENGLISH	1550,57	19bENGLISH	5,04
4353	NEUTRAL	ENGLISH	1551,05	18bENGLISH	5,84
4423	NEGATIVE	ENGLISH	1551,5	17aENGLISH	6,24
708	NEGATIVE	ENGLISH	1551,91	15aENGLISH	5,32
708	NEGATIVE	ENGLISH	1552,93	11aENGLISH	5,28
708	NEGATIVE	ENGLISH	1552,93	06aENGLISH	5,64
4423	NEUTRAL	ENGLISH	1553,34	19bENGLISH	5,04
4423	NEUTRAL	ENGLISH	1553,54	18bENGLISH	5,84
2242	NEUTRAL	ENGLISH	1554,06	07bENGLISH	5
2895	NEGATIVE	ENGLISH	1554,24	07aENGLISH	4,76
708	NEUTRAL	ENGLISH	1554,65	01bENGLISH	4
4423	NEGATIVE	ENGLISH	1555,05	04aENGLISH	4,28
2895	NEUTRAL	ENGLISH	1557,11	20bENGLISH	5,92
2242	NEGATIVE	ENGLISH	1557,65	04aENGLISH	4,28
3789	NEUTRAL	ENGLISH	1558,28	18bENGLISH	5,84
3789	NEUTRAL	ENGLISH	1558,48	14bENGLISH	3,92
708	NEGATIVE	ENGLISH	1558,68	20aENGLISH	3,08
3266	NEUTRAL	ENGLISH	1559,48	11bENGLISH	5,96
708	NEUTRAL	ENGLISH	1560,41	09bENGLISH	5,48
2895	NEUTRAL	ENGLISH	1560,76	01bENGLISH	4
2895	NEUTRAL	ENGLISH	1561,03	08bENGLISH	3,72
